Skarman Carl-Erik
Romanus Gabriel
Odenberg Mikael
Jarrel Henrik S
Lindgren Sylvia
Ask Beatrice
Hoffmann Ulla
Nordlander Inger
Ruwaida Yvonne
Konberg Bo
Attefall Stefan
Agenberg Tomas
Papadopoulos Nikos
Lilliehook Anna
Ohly Lars
Hoij Helena
Larsson Kalle
Narti Ana Maria
Nordquist Kaj
Rojas Mauricio
Hassan Maria
Adelsohn Liljeroth Lena
Vestlund Borje
Carlsson i Tyreso Gunilla
Frans Joe
Sabuni Nyamko
Palm Veronica
Ohlsson Birgitta
Fridolin Gustav
Johansson Anita
Leijonborg Lars
Johansson Jan Emanuel
Schyman Gudrun
Lejon Britta
Odell Mats
Lennmarker Goran
Davidson Inger
Hamilton Bjorn
Reinfeldt Fredrik
Pilsater Karin
Rask Ola
Lindberg Niclas
Arvidsson Eva
Osman Sherifay Mariam
Moberg Carina
Axelsson Christina
de Pourbaix-Lundin Marietta
Svensson Ingvar
Elmsater-Svard Catharina
Beiming Cinnika
Waidelich Tommy
Westman Henrik
Bargholtz Helena
Angstrom Lars
Einarsson Mats
Kerimo Yilmaz
Enstrom Karin
Hamilton Carl B
Andren Gunnar
Ozurkut Sermin
Lundgren Kerstin
Lundstrom Nina
Bjorling Ewa
Engstrom Hillevi
Valtersson Mikaela
Andreasson Martin
Franzen Mia
Damberg Mikael
Hedquist Lennart
Burman Ingrid
Stenmark Rigmor
Tingsgard Tone
Bill Per
Tesfazion Rezene
Berglind Mats
Oscarsson Mikael
Domeij Asa
Gille Agneta
Wikstrom Cecilia
Ullenhag Erik
Westerberg Per
Furustrand Reynoldh
Hagberg Michael
Bjurling Laila
Markstrom Elisebeht
von der Esch Bjorn
Olovsson Fredrik
Ericson Gunvor G
Linna Elina
Hagberg Liselott
Tiefensee Roger
Hagfeldt Stefan
Karlsson Sonia
Danestig Britt-Marie
Ohman Conny
Skoldestig Berndt
Hillar Rosenqvist Helena
Andersson Yvonne
Danielsson Staffan
Axen Gunnar
Ludvigsson Anne
Brus Sven
Lindgren Anna
Darell Linnea
Gustafsson Billy
Malmstrom Louise
Lofstrand Johan
Granbom Karin
Andersson Magdalena
Svensson Alf
Hagglund Goran
Nilsson Martin
Sandgren Margareta
Astrom Alice
Hagg Carina
Andersson Margareta
Wahlstrom Gote
Larsson Maria
Petersson Helene
Johansson Bengt-Anders
Krantz Tobias
Hogmark Anders G
Erlandsson Eskil
Eneroth Tomas
Wegendal Lars
Adolfsson Elgestam Carina
Sandahl Olle
Nordmark Gunnar
Hansson Agne
Palsson Chatrine
Ornfjader Krister
Aurelius Nils Fredrik
Beijer Lennart
Ringman Agneta
Fagerstrom Ann-Marie
Juholt Hakan
Thoren Sverker
Virgin Lilian
Gronhagen Carina
Skoog Christer
Bjorkman Jan
Johnsson Jeppe
Gylling Johnny
Berg Heli
Andersson Kerstin
Larsson Hillevi
Astudillo Luciano
Granlund Marie
Lindkvist Britt-Marie
Lundstrom Sten
Jakobsson Leif
Roslund Carl-Axel
Widman Allan
Billstrom Tobias
Nilsson Annika
Lantz Kenneth
Husmark Pehrsson Cristina
Karlsson Anders
Harstedt Kent
Stafilidis Tasso
Hagberg Christin
Acketoft Tina
Strandberg Torkild
Danielsson Peter
Jonsson Anita
Olander Ronny
Persson Catherine
Bernhardsson Bo
Nilsson Ulf
Svensson Smith Karin
Jarl Beck Inger
Lindblad Lars
Thalen Finne Ewa
Althin Peter
Palsson Anne-Marie
Wahlgren Marie
Holm Ulf
Linander Johan
Ekendahl Maud
Skanberg Tuve
Wester Ulla
Sjostrand Sven-Erik
Bengtsson Anders
Nylander Christer
Engle Kerstin
Ericson Lars-Ivar
Palsson Margareta
Persson i Simrishamn Goran
Adelsbo Christer
Eriksson Alf
Westerlund Panke Majlene
Sahlberg Par Axel
Hoff Hans
Kollmats Lennart
Karlsson Kjell-Erik
Gustafsson Lars
Ertsborn Jan
Broden Anne Marie
Andersson Jan
von Sydow Henrik
Carlstrom Marianne
Bager Erling
Olsson Rolf
Brandin Claes-Goran
Flyborg Eva
Wittgren-Ahl Siw
Lindblad Goran
Siden Anita
Johannesson Berit
Landgren Per
Magnusson Cecilia
Roxbergh Claes
Enochson Annelie
Linden Rolf
Johansson Lars
Carlsson i Hisings Backa Gunilla
Wigstrom Cecilia
Darvik Axel
Nilsson Lennart
Backstrom Lars
Rene Inger
Olsson Kent
Berglund Nilsson Mona
Runegrund Rosita
Torstensson Asa
Larsson Jan-Olof
Aronson Marita
Jonsson Mona
Tysklind Lars
Brakenhielm Catharina
Forslund Kenneth G
Bohlin Olsson Britt
Feltzing Barbro
Soderqvist Nils-Erik
Nystrom Elizabeth
Vanerlov Ingemar
Nenes Christina
Dinamarca Rossana
Broden Anita
Jonsson Peter
Qarlsson Annika
Kjornsberg Arne
Ekholm Berndt
Fransson Sonja
Ekstrom Anne-Marie
Lindgren Else-Marie
Sjosten Ulf
Vasterteg Claes
Nordstrom Kjell
Carlsson Birgitta
Gustafsson Holger
Rosengren Per
Green Monica
Ahlin Urban
Ohlsson Carina
Winback Christer
Widegren Cecilia
Lander Jarl
Johansson Ann-Kristine
Engstrom Marie
Pettersson Marina
Gerdin Viviann
Patriksson Runar
Kihlstrom Dan
Radhstrom Jan-Evert
Bjornlod Leif
Ternemar Tommy
Hogman Berit
Lundberg Inger
Holmqvist Nils-Goran
Frisk Helena
Tolgfors Sten
Pedersen Peter
Johansson Mikael
Pehrson Johan
Larsen Sofia
Axelsson Lennart
Persson Sven Gunnar
Ernkrans Matilda
Magnusson Goran
